date,copies_per_ml,seven_day_avg,lower_ci,upper_ci,system
2020-03-09,9,NA,NA,NA,North
2020-03-10,15,12,7,NA,North
2020-03-11,65,31,21,30,North
2020-03-12,36,32,11,17,North
2020-03-13,32,0,NA,NA,North
2020-03-14,27,31,9,13,North
2020-03-15,53,34,17,25,North
2020-03-16,23,32,7,11,North
2020-03-17,78,43,24,36,North
2020-03-18,45,40,14,21,North
2020-03-19,49,42,16,23,North
2020-03-20,42,0,NA,NA,North
2020-03-21,46,0,NA,NA,North
2020-03-22,45,0,NA,NA,North
2020-03-23,380,90,120,176,North
2020-03-24,56,0,148,NA,North
2020-03-25,228,192,72,105,North
2020-03-26,39,182,12,18,North
2020-03-27,299,201,95,138,North
2020-03-28,201,0,NA,NA,North
2020-03-29,201,0,NA,NA,North
2020-03-30,219,180,69,101,North
2020-03-31,155,0,NA,NA,North
2020-04-01,475,187,150,220,North
2020-04-02,315,0,NA,NA,North
2020-04-03,438,357,138,202,North
2020-04-04,357,0,NA,NA,North
2020-04-05,357,0,NA,NA,North
2020-04-06,456,0,NA,NA,North
2020-04-07,562,489,178,260,North
2020-04-08,496,0,NA,NA,North
2020-04-09,784,578,248,362,North
2020-04-10,664,0,NA,NA,North
2020-04-11,664,0,NA,NA,North
2020-04-12,664,0,NA,NA,North
2020-04-13,664,0,NA,NA,North
2020-04-14,702,742,222,324,North
2020-04-15,742,0,NA,NA,North
2020-04-16,321,474,101,148,North
2020-04-17,360,433,114,166,North
2020-04-18,433,0,NA,NA,North
2020-04-19,433,0,NA,NA,North
2020-04-20,433,0,NA,NA,North
2020-04-21,340,0,NA,NA,North
2020-04-22,541,397,171,250,North
2020-04-23,283,381,90,131,North
2020-04-24,391,0,NA,NA,North
2020-04-25,391,0,NA,NA,North
2020-04-26,391,0,NA,NA,North
2020-04-27,173,41,0,NA,North
2020-04-28,293,355,93,135,North
2020-04-29,288,0,NA,NA,North
2020-04-30,293,0,NA,NA,North
2020-05-01,293,0,NA,NA,North
2020-05-02,293,0,NA,NA,North
2020-05-03,93,165,29,43,North
2020-05-04,165,0,NA,NA,North
2020-05-05,94,94,30,44,North
2020-05-06,22,58,7,10,North
2020-05-07,58,0,NA,NA,North
2020-05-08,58,0,NA,NA,North
2020-05-09,58,0,NA,NA,North
2020-05-10,46,0,NA,NA,North
2020-05-11,43,52,0,NA,North
2020-05-12,22,0,NA,NA,North
2020-05-13,0,0,NA,NA,North
2020-05-14,0,0,NA,NA,North
2020-05-15,0,0,NA,NA,North
2020-05-16,0,0,NA,NA,North
2020-05-17,0,0,NA,NA,North
2020-05-18,0,0,NA,NA,North
2020-05-19,0,0,NA,NA,North
2020-05-20,0,0,NA,NA,North
2020-05-21,42,38,NA,NA,North
2020-05-22,244,197,NA,NA,North
2020-05-23,69,36,NA,NA,North
2020-05-24,52,78,16,24,North
2020-05-25,42,69,13,19,North
2020-05-26,38,62,12,17,North
2020-05-27,81,65,26,37,North
2020-05-28,35,63,11,16,North
2020-05-29,49,50,15,22,North
2020-05-30,71,21,0,NA,North
2020-05-31,37,45,12,17,North
2020-06-01,60,48,19,28,North
2020-06-02,95,55,30,44,North
2020-06-03,40,49,13,18,North
2020-06-04,32,49,10,15,North
2020-06-05,45,48,14,21,North
2020-06-06,46,48,15,21,North
2020-06-07,27,45,8,12,North
2020-06-08,19,39,6,9,North
2020-06-09,167,42,53,77,North
2020-06-10,68,45,21,31,North
2020-06-11,134,56,42,62,North
2020-06-12,78,60,25,36,North
2020-06-13,180,73,57,83,North
2020-06-14,47,11,0,NA,North
2020-06-15,141,120,45,65,North
2020-06-16,118,113,37,55,North
2020-06-17,13,86,4,6,North
2020-06-18,21,63,7,10,North
2020-06-19,37,56,12,17,North
2020-06-20,25,40,8,11,North
2020-06-21,26,38,8,12,North
2020-06-22,20,8,0,NA,North
2020-06-23,22,23,7,10,North
2020-06-24,10,22,3,4,North
2020-06-25,16,21,5,7,North
2020-06-26,11,17,4,5,North
2020-06-27,15,16,5,7,North
2020-06-28,19,15,6,9,North
2020-06-29,15,15,5,7,North
2020-06-30,22,15,7,10,North
2020-07-01,27,17,8,12,North
2020-07-02,29,19,9,14,North
2020-07-03,43,23,14,20,North
2020-07-04,15,23,5,7,North
2020-07-05,13,21,4,6,North
2020-07-06,34,24,11,16,North
2020-07-07,37,26,12,17,North
2020-07-08,30,26,9,14,North
2020-07-09,21,25,7,10,North
2020-07-10,36,24,11,16,North
2020-07-11,21,26,7,10,North
2020-07-12,46,31,15,21,North
2020-07-13,32,31,10,15,North
2020-07-14,32,30,10,15,North
2020-07-15,30,30,9,14,North
2020-07-16,25,31,8,11,North
2020-07-17,43,32,14,20,North
2020-07-18,26,32,8,12,North
2020-07-19,14,27,5,7,North
2020-07-20,20,26,6,9,North
2020-07-21,17,24,5,8,North
2020-07-22,28,23,9,13,North
