date,covid,covid_unsmoothed,lower_ci,upper_ci,level,activity_category
2022-12-12,1272.2252012914041,1272.2252012914041,1122.5549964291486,1421.89540615366,high,not calculated
2022-12-14,1519.3617452550134,1892.489268427603,1480.4376710743213,2304.540865780885,high,not calculated
2022-12-16,1643.737586312543,1233.7292828029963,945.332825740323,1522.1257398656696,high,not calculated
2022-12-19,1917.2629567009997,1766.4982892186226,1404.9247491035521,2128.071829333693,high,not calculated
2022-12-21,2060.117514690073,2377.719342569972,1542.9680672694467,3212.4706178704973,high,not calculated
2022-12-23,2263.8578658071897,2092.8013124567738,1832.23320889474,2353.369416018807,high,not calculated
2022-12-26,2263.8578658071897,2321.0529423948237,1932.2793173066054,2709.8265674830423,high,not calculated
2022-12-27,3009.4107758522264,5201.670290921211,3348.9690205133616,7054.37156132906,high,not calculated
2022-12-28,3076.786200388336,1580.5088930592512,1429.8876316993221,1731.1301544191806,high,not calculated
2023-01-02,2882.0659461588593,4614.378072705082,4276.215955293707,4952.540190116455,high,not calculated
2023-01-04,1870.7762196102487,2294.927586065103,1965.9773585482221,2623.877813581983,high,not calculated
2023-01-06,2000.6650614778146,1736.8921797063924,1431.7608497320084,2042.0235096807764,high,not calculated
2023-01-09,1662.6194963046203,1280.7908905455188,1164.069329120822,1397.5124519702156,high,not calculated
2023-01-11,1644.1532416234431,1970.1754186619492,1801.062101365959,2139.288735957939,high,not calculated
2023-01-13,1721.9143212752954,1008.2134307062729,927.347066680406,1089.0797947321398,high,not calculated
2023-01-16,1631.0551679955468,1914.7766546184184,1716.4047285920194,2113.1485806448172,high,not calculated
2023-01-18,1564.4885635237908,2176.282694703563,1667.7618372508757,2684.8035521562497,high,not calculated
2023-01-20,1756.0310684523463,403.8705965116008,314.0331502811181,493.7080427420836,high,not calculated
2023-01-23,1658.0493805445126,1770.475605246681,1626.4956171974275,1914.4555932959345,high,not calculated
2023-01-25,1658.0493805445126,1582.8409454919397,1392.39584172467,1773.2860492592094,high,not calculated
2023-01-27,1658.0493805445126,1620.831590894917,1151.4496425421307,2090.2135392477035,high,not calculated
2023-01-30,1647.8542919657662,2094.1114414360804,1495.2015530362005,2693.0213298359604,high,not calculated
2023-02-01,1531.1224780236355,1232.6455036655475,1078.4256843800363,1386.865322951059,high,not calculated
2023-02-03,1231.438817400856,1739.8903395104414,1356.8554237883109,2122.9252552325725,high,not calculated
2023-02-06,1078.8970843322802,721.7806090265786,602.7511303918411,840.8100876613162,high,not calculated
2023-02-08,878.3339901125628,541.5136549521826,468.3472296963652,614.6800802080002,high,not calculated
2023-02-10,736.0414290828983,1282.2651403047144,881.1773037424116,1683.352976867017,high,not calculated
2023-02-13,855.4478851006186,630.9562210063953,454.0463193095276,807.8661227032629,high,not calculated
2023-02-15,866.6224644638414,855.3874572157208,786.2873786290597,924.4875358023818,high,not calculated
2023-02-17,729.1117092517719,1079.9999770797397,1003.9359594850943,1156.0639946743852,high,not calculated
2023-02-20,729.1117092517719,664.4799590960638,600.4532491482478,728.5066690438798,high,not calculated
2023-02-22,613.4467196259616,667.4677114435312,542.1612980990119,792.7741247880505,high,not calculated
2023-02-24,496.5480298194624,508.3924883382898,454.7182090841874,562.0667675923922,high,not calculated
2023-02-27,368.6416065319541,316.77164202403367,281.2244624684478,352.31882157961957,high,not calculated
2023-03-01,308.5639916258273,211.06920153471188,121.93889923645492,300.19950383296884,high,not calculated
2023-03-03,308.5639916258273,280.7606892335388,241.97603614858474,319.54534231849283,high,not calculated
2023-03-06,353.817147377473,328.1596436199095,291.6508822514989,364.66840498832005,high,not calculated
2023-03-08,444.6183654915447,452.53110927897046,387.6420846786263,517.4201338793147,high,not calculated
2023-03-10,444.6183654915447,645.3382556578827,553.9246440454021,736.7518672703632,high,not calculated
2023-03-13,550.3445695042022,553.1643435757538,504.2483233073749,602.0803638441329,high,not calculated
2023-03-15,483.2132678766891,180.40547951874314,156.5923681803684,204.21859085711787,high,not calculated
2023-03-17,542.8524493114286,824.2557999621009,649.8526566485654,998.6589432756364,high,not calculated
2023-03-20,503.819032876477,251.13720439643077,205.7786965626963,296.4957122301653,high,not calculated
2023-03-22,503.819032876477,1035.9446651909009,913.4732061706317,1158.41612421117,high,not calculated
2023-03-24,293.55292451103173,436.06409427089915,271.0524429628062,601.0757455789922,high,not calculated
2023-03-27,319.2266933001093,174.46222953173253,124.65394885486006,224.27051020860497,high,not calculated
2023-03-31,232.02607172038708,193.4574748657653,153.5413247501418,233.3736249813888,high,not calculated
2023-04-05,193.1855264210844,328.1585107636633,292.5591221631257,363.75789936420085,high,not calculated
2023-04-07,222.25496762048837,160.16414531501908,137.85696146227716,182.47132916776098,high,not calculated
2023-04-12,211.15719110357296,211.63687486575537,136.48434982903615,286.7893999024746,high,not calculated
2023-04-14,209.12183579240227,261.67055312994444,187.7878138107612,335.5532924491277,high,not calculated
2023-04-17,242.95730506404408,87.3935219113616,60.5865903783712,114.20045344435201,high,not calculated
2023-04-19,234.29878865799182,255.56448719643245,209.43348832819427,301.6954860646706,high,not calculated
2023-04-24,224.96080166778796,393.0870622426299,310.026235719955,476.1478887653047,high,not calculated
2023-04-26,257.9917013473812,185.66132564759855,124.76420091020337,246.5584503849937,high,not calculated
2023-04-28,234.69064749776987,233.65659215933283,159.0080279230188,308.30515639564686,high,not calculated
2023-05-01,217.9959256934954,284.75402468637833,243.30317232416581,326.2048770485909,high,not calculated
2023-05-03,201.09190188146582,134.94925421150978,47.17837495338663,222.72013346963294,high,not calculated
2023-05-05,165.00859289234512,234.6698592735548,176.6496537435419,292.6900648035677,high,not calculated
2023-05-08,109.66430025738411,68.62637246782234,48.990424047775534,88.26232088786914,high,not calculated
2023-05-10,142.90450194473246,125.40666519197079,78.1258200463725,172.68751033756905,high,not calculated
2023-05-12,109.03328711041041,68.63698136867175,53.87990165786627,83.39406107947723,high,not calculated
2023-05-15,129.89983192291157,423.8090062131409,346.37304965865786,501.24496276762386,high,not calculated
2023-05-17,229.3672789299683,133.0562147705887,100.15759290935567,165.95483663182173,high,not calculated
2023-05-19,229.3672789299683,131.2366158061753,96.21211062986336,166.26112098248723,high,not calculated
2023-05-22,142.0374576668064,447.3372501582873,344.30282657958395,550.3716737369907,high,not calculated
2023-05-24,172.7400853874263,116.96168969043279,58.265131732332435,175.65824764853318,high,not calculated
2023-05-26,167.98177668217878,161.81954242365526,124.56612572495061,199.07295912235992,high,not calculated
2023-05-29,130.4049051583328,225.16409793244827,181.71294535281348,268.6152505120831,high,not calculated
2023-05-31,139.03468197121217,111.60294270165592,89.19638943276006,134.0094959705518,high,not calculated
2023-06-02,157.92683588180898,112.43348336091039,79.89737938512029,144.9695873367005,high,not calculated
2023-06-05,122.29581539721237,142.85102012907083,105.37955803172571,180.32248222641599,high,not calculated
2023-06-07,129.5450379549636,218.49600415544572,182.96845645309878,254.02355185779268,high,not calculated
2023-06-09,133.3338682889487,39.900924162326966,31.051036823238494,48.75081150141544,high,not calculated
2023-06-12,114.89629678647742,133.35061037490948,53.09007904567632,213.61114170414265,high,not calculated
2023-06-16,114.89629678647742,123.79997436286585,80.20403607734788,167.3959126483838,high,not calculated
2023-06-19,131.1661089822064,87.53830562165696,49.75263263427058,125.32397860904332,high,not calculated
2023-06-21,115.89534073112222,136.34774220884384,93.38992011908363,179.30556429860408,high,not calculated
2023-06-23,108.52890690266327,158.91497735392707,123.44703794460551,194.38291676324866,high,not calculated
2023-06-26,93.23134845882771,41.64563029015029,29.354236172126896,53.93702440817367,medium,not calculated
2023-06-28,100.75376017385547,101.70067287748901,73.59313552677705,129.80821022820098,medium,not calculated
